,name,gender
4,faijina,0
7,manash,1
24,noorpa,0
33,satyawan,1
36,smt.pinky,0
45,krisana,1
46,chitranjan,1
47,alijan,1
48,kushma,0
49,dhanwati,0
61,husina,0
65,firida,0
78,umanath,1
83,shakun,0
94,rinke,0
101,pabitra,1
106,jhora,0
109,ibraheem,1
115,taar,1
122,tilakraj,1
128,yogeshwar,1
130,puswa,1
133,munbura,0
156,yasar,1
158,hasmita,0
160,mahfuj,1
162,pankajsheel,1
169,para,0
172,balam,1
177,ramdevi,0
180,benu,1
181,pammy,0
188,rosanjahan,0
203,taleem,1
218,panchoo,0
228,asmat,0
230,khangara,1
233,radhadalal,0
254,hamida,0
256,suchit,1
267,sunali,0
273,manda,0
280,smt.ranni,0
282,surjiya,0
288,satu,1
298,alma,0
307,karmi,0
316,meesh,0
320,sahbuddin,1
329,haneef,1
343,abhishiek,1
346,gila,0
354,akaash,1
357,somdevi,0
361,dukhi,1
365,atta,0
370,jamuna,0
371,nasruddin,1
373,kushagra,0
391,rakki,0
394,goopi,1
400,bittan,1
406,janesh,1
422,dilkhush,0
428,satayanarayan,1
431,aesha,0
434,sukhmit,1
437,sanjan,0
444,nabi,1
455,neki,1
456,sitare,1
466,hrithik,1
472,parash,1
473,arindom,1
476,ku-pooja,0
477,sharuna,0
499,sejan,0
500,fazaz,1
510,sushail,1
517,abu,1
519,shoan,1
525,shrinath,1
532,lakky,1
534,muskarn,0
548,haridutt,1
556,rahila,0
557,kushumlata,0
559,km.deyji,1
568,trepti,0
585,jatinder,0
587,parshotam,1
601,ahamad,1
608,smt.nosar,0
612,midda,1
621,md.badrealam,1
626,saeshta,0
645,sano,0
650,shi8vprakash,1
652,chango,0
666,ravinda,0
678,bhudev,1
689,rosy,0
692,moham,1
702,akbari,0
703,englas,0
705,shashwat,1
708,aajiv,1
709,pareeti,0
710,baleshwer,1
718,harana,0
722,nirvat,0
734,annavi,0
737,jhagdoo,1
743,rafal,1
750,sarfaraj,1
759,misri,1
763,nakul,1
765,snah,0
769,premla,0
771,ruksin,0
793,bhagwat,1
797,ashmin,0
798,geernish,1
801,jubed,1
805,kajar,0
809,safiq,1
811,sarves,1
819,baliya,0
828,nawal,1
830,bhup,1
848,harak,1
851,laliya,1
852,jayda,0
870,jewa,0
872,khairu,0
885,visvajeet,1
889,alhamdi,0
890,shma,0
891,aansi,0
902,pooga,0
912,aakib,1
913,babul,1
916,umedi,0
918,nandkishore,1
931,dauji,1
937,sukumar,1
940,saana,0
947,manju@,0
953,raisingh,1
954,vakeel,1
966,hafsa,0
967,choturam,1
968,mmta,0
973,sera,0
982,hashrat,1
995,mohhmad,1
1010,dimpu,1
1012,durgash,0
1013,kushamvir,0
1018,faroj,1
1023,mamtha,0
1029,khubi,1
1030,kamrulnisha,0
1046,sheensar,0
1059,rencho,0
1060,sudhata,0
1074,indta,0
1084,zeshan,1
1090,kaushal@lala,1
1094,lasar,1
1099,jeta,0
1108,megraaj,1
1109,kesavi,0
1114,rukhar,0
1122,bhure,1
1125,kailaki,0
1126,knheyalal,1
1128,hanumanram,1
1146,radat,1
1171,khubchand,1
1179,dropati,0
1180,smt.parwati,0
1189,bram,1
1195,sameeruddin,1
1198,akif,1
1213,ajima,0
1226,rajenderi,0
1237,maksood,1
1239,mony,0
1244,brkha,0
1262,ranjnika,0
1278,raisuddin,1
1280,suhel,1
1282,lajjavati,0
1285,amena,0
1287,asho,0
1302,parjinder,1
1306,yogendr,1
1318,hazara,0
1323,lekhram,1
1325,bhavishy,1
1331,chandeshwar,1
1338,gawali,1
1345,evan,0
1346,sanu,1
1349,smt.sabita,0
1353,urwashi,0
1359,gotiya,0
1364,shirishty,0
1374,amrooti,0
1377,pardeshi,1
1391,shadhik,1
1394,kehkasha,0
1403,rati,1
1415,ramjanki,0
1416,maryam,1
1420,tejvir,1
1425,swadhin,1
1426,samundri,0
1436,nenhe,1
1442,udmai,1
1449,smh.sugana,0
1455,annu@anil,1
1461,valentina,0
1466,kaifiya,0
1492,akib,1
1497,hanny,1
1499,bilke,0
1504,yashdhra,0
1509,salima,0
1510,maigo,0
1512,bavita,0
1518,rasida,0
1522,prezi,0
1535,lalmuni,0
1539,anoopama,0
1544,yaman,1
1554,salu,0
1555,mh,1
1570,rookmani,1
1575,son,1
1576,aamosh,1
1581,deni,1
1583,ishwer,1
1585,suhana,0
1588,lav,1
1594,ramba,0
1610,katyayani,0
1615,bhagirathi,0
1631,amarchand,1
1650,faraheen,0
1667,noshad,1
1668,gopesh,1
1672,manku,1
1673,farjand,1
1674,constable,1
1685,isika,0
1687,zamile,1
1688,kaamini,0
1696,rony,1
1704,bato,0
1708,allauddin,1
1709,sarwitavm,0
1715,susri,0
1726,dharmandra,1
1727,shivji,1
1732,faqir,1
1735,sablu,1
1746,sahnawaz,1
1757,parsanjeet,1
1760,raud,1
1761,kaval,1
1778,mantasha,0
1783,"amit,",1
1784,rupanjali,0
1786,batasi,0
1794,bhani,1
1795,sidarth,1
1811,sahun,1
1817,naveena,0
1820,bakila,0
1832,danveer,1
1836,jauli,1
1838,nagaji,1
1840,rambhul,1
1841,chhotudevi,0
1849,mohni,0
1858,sayda,0
1861,afridi,1
1875,tarjan,1
1883,suwadhin,1
1884,gurprit,1
1893,zareena,0
1895,sarip,1
1899,batul,0
1902,novisha,0
1905,javade,0
1907,deepnarayan,1
1919,bhagipuri,1
1921,father,0
1925,kamraan,1
1934,shabnur,0
1948,mabiya,0
1953,himanshee,0
1955,spana,0
1962,agrej,1
1974,inayat,1
1987,sidhrath,1
1989,jagrti,0
1999,wiliyam,1
2007,dipu,1
2014,nazmin,0
2024,sosari,0
2035,khshbu,0
2036,sawtri,0
2039,akil,1
2040,shahnaza,0
2044,sevak,1
2049,sabhya,0
2052,aswin,1
2059,rahul@akash,1
2060,golu@,1
2061,mookan,1
2067,sohib,1
2079,pallawi,0
2088,amarvesh,1
2092,maisan,1
2104,chhedilal,1
2129,dasharath,1
2138,palaram,1
2142,gulnaza,0
2144,usmaan,1
2162,aastha,0
2180,aruni,0
2181,nigar,0
2183,istikar,1
2191,laldhari,1
2195,nasrudeen,1
2222,bake,1
2223,istyak,1
2232,hemant@teeku,1
2233,same,1
2244,ramaiya,0
2249,affan,1
2255,khokan,1
2259,senthia,0
2263,nakched,1
2267,premjit,0
2279,imam,1
2287,sunena,0
2299,garib,1
2306,mogli,1
2310,jankidas,1
2325,dhrmveer,1
2333,puspak,1
2340,danwati,0
2342,muskhan,0
2350,birij,1
2355,sheh,1
2356,smt.kalawati,0
2373,neela,0
2383,mantosh,1
2390,gandharv,1
2404,manver,1
2407,bandani,0
2409,jafar,1
2428,mujeeb,1
2430,girja,0
2431,bashudev,1
2445,joohi,0
2450,jaimata,0
2455,mukiman,0
2458,jisan,1
2462,pooja/varsha,0
2463,mahinudin,1
2476,seti,1
2482,noornabi,1
2488,michael,1
2492,bapu,1
2493,nashrin,0
2499,rimzim,0
2507,asrf,1
2511,shatish,1
2512,vajid,1
2527,bhupen,1
2531,mohatter,1
2537,long,0
2540,jeevanlata,0
2550,satnosh,1
2552,ikramuddin,1
2559,a.,1
2562,sushhmita,0
2568,saroja,0
2575,mandan,1
2579,bhismpal,1
2581,tabbwum,0
2585,laja,0
2592,afarin,0
2599,sahbaj,1
2606,sajruddin,1
2615,dhermendra,1
2616,aayana,0
2628,justin,1
2637,pancu,1
2660,kulbir,1
2668,bishesh,1
2680,cheete,1
2681,naroo,1
2693,bantu,0
2694,wiresh,1
2696,anusoya,0
2703,shokesh,1
2704,bharma,1
2705,teja,0
2709,satyvati,0
2712,deepaak,1
2717,shayma,0
2723,rimpi,0
2724,munnakumar,1
2727,mubshshira,0
2741,parashu,1
2742,farhaja,0
2750,beera,0
2762,nashimuddin,1
2769,nikhad,0
2787,shivkumari,0
