name,gender,score
A,1,1
A.j.,1,1
A'isha,0,0
A'ishah,0,0
Aa'isha,0,0
Aa'ishah,0,0
Aaban,1,1
Aabha,0,1
Aabid,1,1
Aabraham,1,0
Aabriella,0,1
Aachal,0,0
Aada,0,0
Aadam,1,1
Aadan,1,1
Aadarsh,1,1
Aaden,1,0.998814604
Aadesh,1,1
Aadham,1,1
Aadhav,1,1
Aadhavan,1,1
Aadhi,1,1
Aadhira,0,1
Aadhvik,1,1
Aadhya,0,1
Aadhyan,1,1
Aadi,1,0.977961433
Aadian,1,1
Aadil,1,1
Aadila,0,0
Aadin,1,1
Aadish,1,1
Aadison,0,1
Aadit,1,1
Aadith,1,1
Aadithya,1,1
Aaditri,0,1
Aaditya,1,1
Aadiv,1,1
Aadolf,1,0
Aadon,1,1
Aadrian,1,1
Aadrika,0,1
Aadrit,1,1
Aadvik,1,1
Aadvika,0,1
Aadya,0,1
Aadyn,1,0.962962963
Aaeedah,0,0
Aaeesha,0,0
Aaenab,1,0
Aafia,0,1
Aafiya,0,0
Aafiyah,0,0
Aafje,0,0
Aafreen,0,1
Aafrin,0,0
Aaftaab,1,0
Aaftab,1,0
Aagam,1,1
Aagand,1,0
Aagat,1,1
Aage,1,0
Aagman,1,1
Aagot,0,1
Aahaan,1,1
Aahad,1,1
Aahan,1,1
Aahana,0,1
Aahil,1,1
Aahim,1,0
Aahir,1,1
Aahliyah,0,1
Aahna,0,1
Aahron,1,1
Aaidan,1,1
Aaiden,1,1
Aaidyn,1,1
Aaila,0,1
Aailiyah,0,1
Aailyah,0,1
Aaima,0,1
Aaina,0,0
Aaira,0,1
Aairah,0,1
Aaisha,0,1
Aaishah,0,1
Aaiyana,0,1
Aaiza,0,1
Aaizah,0,0
Aaja,0,1
Aajad,1,0
Aajah,0,1
Aajaylah,0,1
Aajiv,1,0
Aajon,1,1
Aakanksha,0,1
Aakar,1,0
Aakarsh,1,1
Aakas,1,0
Aakash,1,1
Aakeem,1,1
Aakib,1,0
Aakifa,0,0
Aakifah,0,0
Aakilah,0,1
Aakira,0,1
Aakiyah,0,1
Aakriti,0,1
Aala,0,1
Aalaa,0,0
Aalaiya,0,1
Aalaiyah,0,1
Aalam,1,0
Aalana,0,1
Aalanah,0,1
Aalani,0,1
Aalap,1,1
Aalaya,0,1
Aalayah,0,1
Aalayiah,0,1
Aalayjah,0,1
Aalayna,0,1
Aalaysha,0,1
Aalaysia,0,1
Aalea,0,1
Aaleah,0,1
Aaleahya,0,1
Aaleena,0,1
Aaleeya,0,1
Aaleeyah,0,1
Aaleiah,0,1
Aaleigha,0,1
Aaleiyah,0,1
Aalena,0,1
Aalexis,0,1
Aalexus,0,1
Aaleya,0,1
Aaleyah,0,1
Aali,1,0
Aalia,0,1
Aaliah,0,1
Aaliana,0,1
Aalias,1,1
Aaliayah,0,1
Aaliayh,0,1
Aalicia,0,1
Aaliegha,0,0
Aaliha,0,1
Aalijah,1,0.591065292
Aalim,1,1
Aalimah,0,1
Aalina,0,1
Aalinah,0,1
Aalis,0,0
Aalisa,0,1
Aalish,0,0
Aalisha,0,1
Aalivia,0,1
Aaliya,0,1
Aaliyaa,0,1
Aaliyah,0,0
Aaliyaha,0,1
Aaliyah-louise,0,0
Aaliyah-mae,0,0
Aaliyahmarie,0,1
Aaliyah-marie,0,0
Aaliyahrose,0,1
Aaliyah-rose,0,0
Aaliyan,0,1
Aaliyana,0,1
Aaliyanna,0,1
Aaliyha,0,1
Aaliyiah,0,1
Aalliyah,0,1
Aallyah,0,1
Aalok,1,1
Aalon,1,1
Aalya,0,1
Aalyah,0,1
Aalycia,0,1
Aalyha,0,1
Aalyia,0,1
Aalyiah,0,1
Aalyna,0,1
Aalysia,0,1
Aalyssa,0,1
Aalyvia,0,1
Aamaira,0,0
Aaman,1,1
Aamanah,0,0
Aamanda,0,1
Aamanee,0,1
Aamani,0,1
Aamar,1,1
Aamari,1,0.555555556
Aamarion,1,1
Aamaya,0,1
Aamber,0,1
Aamena,0,1
Aamenah,0,0
Aamer,1,1
Aamia,0,1
Aamil,1,1
Aamilah,0,1
Aamin,1,0
Aamina,0,0
Aaminah,0,0
Aamir,1,0
Aamira,0,1
Aamirah,0,1
Aamiya,0,1
Aamiyah,0,1
Aamna,0,1
Aamnah,0,0
Aamod,1,0
Aamoni,0,1
Aamori,0,1
Aamosh,1,0
Aamrin,0,0
Aamu,0,0
Aamya,0,1
Aamyah,0,1
Aana,0,1
Aanad,1,0
Aanamika,0,0
Aanand,1,1
Aanav,1,1
Aanaya,0,1
Aanchal,0,1
Aania,0,1
Aaniah,0,1
Aanijah,0,1
Aanik,0,0
Aanika,0,1
Aanil,1,0
Aanis,1,1
Aanisah,0,1
Aanisha,0,0
Aaniya,0,1
Aaniyah,0,1
Aaniylah,0,1
Aansh,1,1
Aanshi,0,1
Aansi,0,0
Aansu,1,0
Aanuoluwa,0,0
Aanvi,0,1
Aanya,0,1
Aanyah,0,1
Aanyla,0,1
Aapeli,1,0
Aapo,1,0
Aapri,0,1
Aaqib,1,1
Aaqil,1,1
Aara,0,1
Aarabella,0,1
Aarabhi,0,1
Aarabi,0,0
Aaradhana,0,1
Aaradhy,1,1
Aaradhya,0,1
Aarae,0,0
Aaraiz,1,1
Aaralyn,0,1
Aaralynn,0,1
Aaran,1,1
Aarani,0,0
Aaraon,1,1
Aarati,0,0
Aaratrika,0,1
Aarav,1,1
Aaravi,0,1
Aaraya,0,1
Aardhna,0,0
Aaren,3,0
Aareon,1,0.76744186
Aareona,0,1
Aarez,1,1
Aari,0,0.642857143
Aaria,0,1
Aariah,0,1
Aarian,1,0.649635036
Aariana,0,1
Aarianna,0,1
Aarib,1,1
Aaric,1,1
Aarica,0,1
Aarick,1,1
Aarie,0,1
Aariel,0,1
Aarielle,0,1
Aarien,1,1
Aarif,0,0
Aarifa,0,0
Aarifah,0,0
Aarifun,0,0
Aarik,1,1
Aarika,0,1
Aariketh,1,1
Aarilyn,0,1
Aarilynn,0,1
Aarin,1,0.613071895
Aarini,0,1
Aarion,1,0.76109215
Aariona,0,1
Aarionna,0,1
Aaris,0,0.53968254
Aarish,1,1
Aarit,1,1
Aariv,1,1
Aariya,0,1
Aariyah,0,1
Aariyan,1,1
Aariyana,0,1
Aariyanna,0,1
Aariyona,0,1
Aariyonna,0,1
Aariz,1,1
Aarjav,1,1
Aarju,0,0
Aarn,1,1
Aarna,0,1
Aarnav,1,1
Aarnavi,0,1
Aarne,1,0
Aaro,1,1
Aaroh,1,1
Aarohan,1,1
Aarohi,0,1
Aarolyn,0,1
Aaron,1,0
Aarona,0,1
Aaronae,0,1
Aaronda,0,1
Aarondeep,1,1
Aaronette,0,1
Aaronisha,0,1
Aaronjacob,1,1
Aaronjames,1,1
Aaron-james,1,1
